ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S22
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,            11,           3.5,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.63631
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,            82,       3.49355,   269.121E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.60898
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           127,       3.76298,   271.991E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.97660
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           511,       3.75649,   135.995E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.03864
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           513,       3.62826,   270.556E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.79913
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           514,       3.49677,   134.561E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.62313
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           515,         3.625,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.87890
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           179,       3.77286,   515.950E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.79619
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           233,       3.73360,   778.836E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.53369
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           234,       3.48186,   523.026E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.54044
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           285,       3.46544,   780.820E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.48573
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           484,       3.75323,   647.393E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.66196
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           516,       3.62736,   519.488E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.66568
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           517,       3.59952,   779.828E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.49260
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           518,       3.47365,   651.923E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.51380
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            11,           3.5,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.63631
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            12,          3.25,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.42196
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            82,       3.49355,   269.121E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.60898
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,            83,       3.23361,   262.706E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.41107
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,           487,       3.24180,   131.353E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.41583
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,           514,       3.49677,   134.561E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.62313
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,           519,       3.36358,   265.914E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.51189
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,           520,         3.375,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.53247
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,            82,       3.49355,   269.121E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.60898
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,            83,       3.23361,   262.706E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.41107
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,           128,       3.20971,   522.297E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.39849
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,           234,       3.48186,   523.026E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.54044
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,           519,       3.36358,   265.914E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.51189
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,           521,       3.22166,   392.501E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.40371
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,           522,       3.48770,   396.074E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.57937
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,           523,       3.34578,   522.662E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.46869
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,            13,            3.,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.29933
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,            14,          2.75,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.22349
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,            79,       2.72491,   239.459E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.22156
